nr;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A;U common;obciążenie wyjścia INA199;B;A
NR148;3,700000;NO;2,510109;-1,508123;3,700000;YES;2,510926;-1,507621;7,400000;NO;2,510518;-1,508025;7,400000;YES;2,510461;-1,507852;12,000000;NO;2,510377;-1,507757;12,000000;YES;2,510220;-1,507791;18,000000;NO;2,510032;-1,508299;18,000000;YES;2,510386;-1,507984
NR145;3,700000;NO;2,508388;-1,504443;3,700000;YES;2,509146;-1,503577;7,400000;NO;2,509119;-1,503811;7,400000;YES;2,509070;-1,503974;12,000000;NO;2,509587;-1,503838;12,000000;YES;2,509657;-1,503821;18,000000;NO;2,509650;-1,504289;18,000000;YES;2,510056;-1,504079
NR147;3,700000;NO;2,498544;-1,505679;3,700000;YES;2,498885;-1,504897;7,400000;NO;2,499157;-1,504868;7,400000;YES;2,498787;-1,504860;12,000000;NO;2,499368;-1,505061;12,000000;YES;2,499537;-1,504945;18,000000;NO;2,500064;-1,505882;18,000000;YES;2,500318;-1,505984
NR146;3,700000;NO;2,499338;-1,514810;3,700000;YES;2,499805;-1,514077;7,400000;NO;2,499786;-1,514455;7,400000;YES;2,499769;-1,514472;12,000000;NO;2,499887;-1,514469;12,000000;YES;2,499880;-1,514319;18,000000;NO;2,499724;-1,514806;18,000000;YES;2,499426;-1,515179
NR160;3,700000;NO;2,502994;-1,507919;3,700000;YES;2,502389;-1,506071;7,400000;NO;2,503752;-1,507791;7,400000;YES;2,504310;-1,507268;12,000000;NO;2,504913;-1,507328;12,000000;YES;2,505815;-1,508377;18,000000;NO;2,508310;-1,507846;18,000000;YES;2,508628;-1,507552
NR157;3,700000;NO;2,501980;-1,508049;3,700000;YES;2,502924;-1,507539;7,400000;NO;2,502539;-1,507766;7,400000;YES;2,502677;-1,507530;12,000000;NO;2,502363;-1,508036;12,000000;YES;2,502267;-1,507772;18,000000;NO;2,501756;-1,508180;18,000000;YES;2,501616;-1,507926
NR158;3,700000;NO;2,498559;-1,503778;3,700000;YES;2,498702;-1,503030;7,400000;NO;2,498532;-1,503436;7,400000;YES;2,498691;-1,503267;12,000000;NO;2,498165;-1,503362;12,000000;YES;2,498031;-1,503409;18,000000;NO;2,497875;-1,503868;18,000000;YES;2,498283;-1,503473
NR144;3,700000;NO;2,505174;-1,503279;3,700000;YES;2,505210;-1,503008;7,400000;NO;2,505678;-1,502986;7,400000;YES;2,505977;-1,503180;12,000000;NO;2,506389;-1,503335;12,000000;YES;2,506787;-1,502808;18,000000;NO;2,506740;-1,503311;18,000000;YES;2,506595;-1,503673
NR143;3,700000;NO;2,508337;-1,513691;3,700000;YES;2,509455;-1,512875;7,400000;NO;2,509494;-1,513157;7,400000;YES;2,509541;-1,512943;12,000000;NO;2,509592;-1,513368;12,000000;YES;2,509501;-1,513039;18,000000;NO;2,509143;-1,513366;18,000000;YES;2,509173;-1,513656
NR142;3,700000;NO;2,504041;-1,501456;3,700000;YES;2,503696;-1,501795;7,400000;NO;2,502767;-1,501779;7,400000;YES;2,502351;-1,502254;12,000000;NO;2,501901;-1,502484;12,000000;YES;2,501728;-1,502719;18,000000;NO;2,501502;-1,502570;18,000000;YES;2,501162;-1,503051
NR193;3,700000;NO;2,510096;-1,510045;3,700000;YES;2,510321;-1,509299;7,400000;NO;2,510478;-1,509412;7,400000;YES;2,510205;-1,509695;12,000000;NO;2,510656;-1,509475;12,000000;YES;2,510687;-1,509233;18,000000;NO;2,510917;-1,509776;18,000000;YES;2,510392;-1,509882
